"DateTime";"Precipitation";"Mean temperature";"Minimum temperature";"Maximum temperature";"Typical maximum temperature";"Typical maximum temperature";"Typical minimum temperature";"Typical minimum temperature";"Fairly typical maximum temperature";"Fairly typical maximum temperature";"Fairly typical minimum temperature";"Fairly typical minimum temperature"
"2019-10-06";0;4;0.4;6.8;10.3;11.9;4.5;7.2;7.6;13.8;0.9;9.8
"2019-10-07";0.1;4.4;2.6;7.8;10.1;11.8;4.4;7;7.4;13.6;0.8;9.7
"2019-10-08";0;4.9;2.3;7.2;10;11.6;4.2;6.9;7.2;13.4;0.6;9.5
"2019-10-09";1.1;4.8;1.8;7.6;9.8;11.4;4.1;6.7;6.9;13.3;0.5;9.4
"2019-10-10";2.3;7.1;4.7;10.1;9.6;11.2;4;6.6;6.7;13.1;0.3;9.2
"2019-10-11";34;10.3;5.8;12.3;9.4;11;3.9;6.4;6.5;12.9;0.2;9.1
"2019-10-12";0.1;9.8;8.2;11.5;9.2;10.8;3.7;6.3;6.3;12.7;0;9
"2019-10-13";1.4;8.9;6.4;12.2;9;10.6;3.6;6.1;6;12.5;-0.1;8.8
"2019-10-14";9.9;5;2.2;8.5;8.8;10.5;3.5;6;5.8;12.3;-0.3;8.7
"2019-10-15";0.1;4.4;-1.1;7.8;8.5;10.3;3.3;5.8;5.6;12.1;-0.5;8.5
"2019-10-16";0;6.8;5;8.3;8.4;10.1;3.2;5.7;5.3;11.9;-0.6;8.4
"2019-10-17";3.8;5.1;4.7;5.7;8.2;9.9;3.1;5.6;5.1;11.8;-0.8;8.3
"2019-10-18";2.9;8;4.8;10.3;8;9.7;2.9;5.4;4.9;11.6;-0.9;8.1
"2019-10-19";2.9;11.5;10.3;12.4;7.8;9.6;2.8;5.2;4.6;11.4;-1.1;8
"2019-10-20";13.3;9.8;7.5;11.3;7.6;9.4;2.7;5.1;4.4;11.2;-1.2;7.8
"2019-10-21";0.2;6.7;4.3;10.7;7.4;9.2;2.5;4.9;4.2;11;-1.4;7.7
"2019-10-22";0.1;9.6;2.8;11.4;7.2;9;2.4;4.7;3.9;10.9;-1.6;7.5
"2019-10-23";0;10;8;11.8;7;8.8;2.2;4.6;3.7;10.7;-1.7;7.4
"2019-10-24";0;11.1;10.4;12.1;6.8;8.7;2.1;4.4;3.5;10.5;-1.9;7.2
"2019-10-25";0.6;10.7;9.6;12.1;6.6;8.5;2;4.3;3.3;10.4;-2.1;7.1
"2019-10-26";13.2;7.5;5.8;11.5;6.4;8.3;1.8;4.1;3;10.2;-2.3;6.9
"2019-10-27";9.8;3.2;1.1;5.8;6.1;8.1;1.7;3.9;2.8;10.1;-2.4;6.8
"2019-10-28";0.8;0.9;0;2.8;5.9;7.9;1.5;3.8;2.6;9.9;-2.6;6.6
"2019-10-29";0.1;-1;-3;1.4;5.7;7.8;1.3;3.6;2.4;9.7;-2.7;6.5
"2019-10-30";0.1;-0.4;-3.3;1.6;5.5;7.6;1.2;3.4;2.2;9.6;-2.9;6.3
